thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
56,0,56,up,0,0.5227453999686986,None,-2,56,0,56,0,89.61598329991102,,89.60025739995763,89.61598329991102,90.60135019989684,90.61813369998708,91.13408129988238,up,0,0.5227453999686986,None,-2,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
57,0,57,up,1,0.5636383998207748,None,0,57,0,57,0,91.15000470005907,,91.13431750005111,91.15000470005907,92.13422870007344,92.15130440006033,92.70221249992028,up,1,0.5636383998207748,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
58,0,58,down,1,0.4473323000129312,None,4,58,0,58,0,92.71666999999434,,92.70252879988402,92.71666999999434,93.71803179988638,93.71803179988638,94.16683160001412,down,1,0.4473323000129312,None,4,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
59,0,59,down,0,0.5970632000826299,None,0,59,0,59,0,94.18430189997889,,94.1670716998633,94.18430189997889,95.16782439989038,95.18426660005935,95.76727199996822,down,0,0.5970632000826299,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
60,0,60,up,1,0.45162020018324256,None,0,60,0,60,0,95.78316650004126,,95.7675278999377,95.78316650004126,96.76766039989889,96.78521719994023,97.23444560007192,up,1,0.45162020018324256,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
61,0,61,down,1,0.5380003999453038,None,3,61,0,61,0,97.25061969994567,,97.23479050002061,97.25061969994567,98.25101440004073,98.25101440004073,98.80079469992779,down,1,0.5380003999453038,None,3,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
62,0,62,down,1,0.5053654999937862,None,1,62,0,62,0,98.81680830009282,,98.80111170001328,98.81680830009282,99.80101100006141,99.8180692999158,100.31746639986522,down,1,0.5053654999937862,None,1,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
63,0,63,down,1,0.536183699965477,None,-4,63,0,63,0,100.33351829997264,,100.31781699997373,100.33351829997264,101.31681809993461,101.33440229995176,101.86871309997514,down,1,0.536183699965477,None,-4,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
64,0,64,down,1,0.6096121999435127,None,-4,64,0,64,0,101.88485989999026,,101.86897829989903,101.88485989999026,102.88464559987187,102.88464559987187,103.50061600003392,down,1,0.6096121999435127,None,-4,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
65,0,65,up,0,0.6302795999217778,None,-5,65,0,65,0,103.51699859998189,,103.50092769996263,103.51699859998189,104.50117549998686,104.51667429995723,105.13327570003457,up,0,0.6302795999217778,None,-5,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
