cue_arrow,target_x,condition,corr_Ans,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,start_key.started,welcome.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,fixation.stopped,cue_text.started,cue_text.stopped,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thankyou.started,text.started,text.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
←,-0.5,valid,left,275,5,27,left,1,0.3463874000008218,None,27,5,275,4,496.7304284999991,,,,,,,,,496.71579109999584,496.7304284999991,497.21304830000736,497.21304830000736,497.51344080000126,497.8135387999937,497.8135387999937,498.1629638000013,left,1,0.3463874000008218,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,-0.5,valid,left,276,6,27,left,1,0.5074332000076538,None,27,6,276,1,498.1796835999994,,,,,,,,,498.16349950000586,498.1796835999994,498.6632627000072,498.6632627000072,498.96317109999654,499.2636499000073,499.2636499000073,499.77967240000726,left,1,0.5074332000076538,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,0.5,invalid,right,277,7,27,right,1,1.8077942000090843,None,27,7,277,9,499.79544620000524,,,,,,,,,499.7801215000072,499.79544620000524,500.2788994000002,500.2788994000002,500.58014659999753,500.88038800000504,500.88038800000504,502.69607720000204,right,1,1.8077942000090843,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,278,8,27,right,1,0.543309800006682,None,27,8,278,7,502.71173290000297,,,,,,,,,502.69839600000705,502.71173290000297,503.19722580000234,503.19722580000234,503.4973713999934,503.7965961000009,503.7965961000009,504.34797139999864,right,1,0.543309800006682,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,-0.5,valid,left,279,9,27,left,1,0.46282179999980144,None,27,9,279,6,504.3627007000032,,,,,,,,,504.3503297999996,504.3627007000032,504.8465426000039,504.8465426000039,505.1636068999942,505.4473424000025,505.4473424000025,505.9137292999949,left,1,0.46282179999980144,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,-0.5,invalid,left,280,0,28,right,0,0.5853958999941824,None,28,0,280,8,505.92919480000273,,,,,,,,,505.9162578999967,505.92919480000273,506.41395770000236,506.41395770000236,506.71276450000005,507.0298574000044,507.0298574000044,507.62982940000074,right,0,0.5853958999941824,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,-0.5,valid,left,281,1,28,left,1,0.8883475000038743,None,28,1,281,6,507.6457916000072,,,,,,,,,507.63246130000334,507.6457916000072,508.1300564999983,508.1300564999983,508.4303649000067,508.7305267000047,508.7305267000047,509.63079599999764,left,1,0.8883475000038743,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,282,2,28,right,1,0.42792100000951905,None,28,2,282,3,509.64635939999425,,,,,,,,,509.632924000005,509.64635939999425,510.1292539999995,510.1292539999995,510.4473066000064,510.7301710000029,510.7301710000029,511.1626995999977,right,1,0.42792100000951905,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,283,3,28,right,1,0.8530023000057554,None,28,3,283,7,511.1788772,,,,,,,,,511.16315680000116,511.1788772,511.66416440000467,511.66416440000467,511.9629391000053,512.2643776000041,512.2643776000041,513.130273799994,right,1,0.8530023000057554,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,-0.5,valid,left,284,4,28,left,1,0.5482451999996556,None,28,4,284,1,513.1467329000006,,,,,,,,,513.1324307000032,513.1467329000006,513.6462107999978,513.6462107999978,513.9461913999985,514.2454387000034,514.2454387000034,514.7957024000061,left,1,0.5482451999996556,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
